task_id,status,num_gpus,memory_per_gpu,submission_time,start_time,completion_time,estimated_duration,actual_duration,jct,wait_time,allocated_gpus
task-90,completed,13,41.41,596.07,13748.00,17389.00,1520.15,3641.00,16792.93,13151.93,"rack-1-2,rack-1-3,rack-3-2,rack-3-6,rack-4-0,rack-4-1,rack-4-2,rack-4-6,rack-5-4,rack-5-5,rack-6-7,rack-7-0,rack-7-2"
task-8,completed,9,48.81,965.21,14868.00,17913.00,1316.22,3045.00,16947.79,13902.79,"rack-0-0,rack-0-1,rack-2-4,rack-2-5,rack-5-0,rack-5-1,rack-6-5,rack-7-1,rack-7-3"
task-11,completed,8,46.84,1539.57,13925.00,17993.00,1773.55,4068.00,16453.43,12385.43,"rack-5-2,rack-5-3,rack-6-0,rack-6-1,rack-6-2,rack-6-3,rack-6-4,rack-7-6"
task-29,completed,9,58.37,913.83,15333.00,18288.00,1373.91,2955.00,17374.17,14419.17,"rack-0-7,rack-1-4,rack-1-5,rack-2-0,rack-2-1,rack-2-2,rack-2-3,rack-3-3,rack-5-6"
task-62,completed,11,56.21,1289.15,17913.00,18702.00,375.62,789.00,17412.85,16623.85,"rack-0-0,rack-0-1,rack-2-4,rack-2-5,rack-5-0,rack-5-1,rack-6-5,rack-6-6,rack-6-7,rack-7-0,rack-7-1"
task-21,completed,9,45.33,1050.36,17112.00,18744.00,776.90,1632.00,17693.64,16061.64,"rack-1-6,rack-1-7,rack-2-6,rack-2-7,rack-3-4,rack-3-5,rack-3-7,rack-4-3,rack-4-4"
task-46,completed,15,52.10,1176.22,18702.00,18927.00,106.97,225.00,17750.78,17525.78,"rack-0-0,rack-0-1,rack-2-4,rack-2-5,rack-5-0,rack-5-1,rack-6-1,rack-6-2,rack-6-3,rack-6-4,rack-6-5,rack-6-6,rack-6-7,rack-7-0,rack-7-1"
task-84,completed,11,47.38,1205.83,17389.00,18958.00,746.97,1569.00,17752.17,16183.17,"rack-1-2,rack-1-3,rack-3-2,rack-3-6,rack-4-0,rack-4-1,rack-4-2,rack-4-5,rack-4-6,rack-5-4,rack-5-5"
task-99,completed,13,41.28,1107.93,15797.00,19353.00,1626.02,3556.00,18245.07,14689.07,"rack-0-2,rack-0-3,rack-0-4,rack-0-5,rack-0-6,rack-1-0,rack-1-1,rack-3-0,rack-3-1,rack-4-7,rack-5-7,rack-7-5,rack-7-7"
task-33,completed,12,52.97,553.53,18288.00,21436.00,1498.68,3148.00,20882.47,17734.47,"rack-0-7,rack-1-4,rack-1-5,rack-2-0,rack-2-1,rack-2-2,rack-2-3,rack-3-3,rack-5-2,rack-5-3,rack-5-6,rack-6-0"
task-35,completed,16,49.33,958.87,18927.00,22625.00,1760.59,3698.00,21666.13,17968.13,"rack-0-0,rack-0-1,rack-1-6,rack-1-7,rack-2-4,rack-2-5,rack-2-6,rack-2-7,rack-3-4,rack-3-5,rack-3-7,rack-4-3,rack-4-4,rack-5-0,rack-5-1,rack-6-1"
